"","time","tweet_id","sentiment_score","location"
"1","Fri May 01 04:38:19 +0000 2020",1256080484636872704,0,"Himachal Pradesh, India"
"2","Fri May 01 04:38:22 +0000 2020",1256080500466352128,0,"Puri, India"
"3","Fri May 01 04:38:39 +0000 2020",1256080570645229568,0.32,"Tamil Nadu, India"
"4","Fri May 01 04:39:11 +0000 2020",1256080704284188672,0,"New Delhi, India"
"5","Fri May 01 04:39:36 +0000 2020",1256080809821265920,0.5,"Vadodara | Baroda | ??????"
"6","Fri May 01 04:39:39 +0000 2020",1256080822932836352,0.1,"Himachal Pradesh, India"
"7","Fri May 01 04:39:49 +0000 2020",1256080863369981952,-0.05,"Bengaluru South, India"
"8","Fri May 01 04:40:03 +0000 2020",1256080921909846016,0,"Bengaluru South, India"
"9","Fri May 01 04:40:12 +0000 2020",1256080960900100096,0.0277777777777778,"Jalandhar, India"
"10","Fri May 01 04:40:14 +0000 2020",1256080970161127424,-0.0131313131313131,"Sagarpur, New Delhi"
"11","Fri May 01 04:40:42 +0000 2020",1256081086586601472,-0.5,"Mumbai, India"
"12","Fri May 01 04:40:53 +0000 2020",1256081131285381120,0.125,"Gujarat, India"
"13","Fri May 01 04:41:08 +0000 2020",1256081197127528448,-0.25,"Bengaluru South, India"
"14","Fri May 01 04:41:16 +0000 2020",1256081229071503360,0.7,"Mumbai, India"
"15","Fri May 01 04:41:32 +0000 2020",1256081297849503744,0.0757575757575758,"Ludhiana, India"
"16","Fri May 01 04:42:13 +0000 2020",1256081467882434560,0.113636363636364,"Cuttack, India"
"17","Fri May 01 04:42:25 +0000 2020",1256081518419730432,0.168181818181818,"AIIMS"
"18","Fri May 01 04:42:45 +0000 2020",1256081601148203008,0,"DOME"
"19","Fri May 01 04:42:49 +0000 2020",1256081620873949184,0,"Mumbai, India"
"20","Fri May 01 04:43:11 +0000 2020",1256081709923090432,0.2,"Bengaluru South, India"
"21","Fri May 01 04:43:12 +0000 2020",1256081716667731968,0,"Jaipur, India"
"22","Fri May 01 04:43:32 +0000 2020",1256081798477615104,0.246590909090909,"Andhra Pradesh, India"
"23","Fri May 01 04:43:46 +0000 2020",1256081857168408576,-0.104761904761905,"Egmore Nungambakkam, India"
"24","Fri May 01 04:44:03 +0000 2020",1256081930228912128,-0.316666666666667,"Ludhiana, India"
"25","Fri May 01 04:44:09 +0000 2020",1256081955168321536,0.125,"Mumbai, India"
"26","Fri May 01 04:44:11 +0000 2020",1256081961296117760,0,"Gurgaon, India"
"27","Fri May 01 04:44:31 +0000 2020",1256082047015124992,0,"Greater Noida, India"
"28","Fri May 01 04:45:22 +0000 2020",1256082262606655488,-0.1125,"Goa, India"
"29","Fri May 01 04:45:26 +0000 2020",1256082277064413184,-0.25,"Madhya Pradesh, India"
"30","Fri May 01 04:45:38 +0000 2020",1256082328998170624,0.0240384615384615,"Kolkata, India"
"31","Fri May 01 04:46:13 +0000 2020",1256082476369186816,0.227272727272727,"Ajmer, India"
"32","Fri May 01 04:46:16 +0000 2020",1256082485886087168,0.015,"Bengaluru South, India"
"33","Fri May 01 04:47:37 +0000 2020",1256082828581916672,0,"Upleta, India"
"34","Fri May 01 04:47:43 +0000 2020",1256082852757639168,0.4125,"Haveli, India"
"35","Fri May 01 04:48:04 +0000 2020",1256082941634940928,0.871930803571428,"Pune, India"
"36","Fri May 01 04:48:25 +0000 2020",1256083027462991872,0,"New Delhi, India"
"37","Fri May 01 04:48:36 +0000 2020",1256083074456010752,0.25,"Bijnor, India"
"38","Fri May 01 04:49:34 +0000 2020",1256083318229131264,0,"Allahabad Outer, India"
"39","Fri May 01 04:49:49 +0000 2020",1256083382120808448,0.298333333333333,"Patan,gujarat"
"40","Fri May 01 04:49:59 +0000 2020",1256083423174594560,0.14375,"Mumbai, India"
"41","Fri May 01 04:50:27 +0000 2020",1256083541944700928,0,"Kolkata, India"
"42","Fri May 01 04:50:36 +0000 2020",1256083579504754688,0,"Dehradun, India"
"43","Fri May 01 04:50:41 +0000 2020",1256083598324764672,0.566666666666667,"Madhya Pradesh, India"
"44","Fri May 01 04:51:37 +0000 2020",1256083832111083520,-0.122222222222222,"Vododara, India"
"45","Fri May 01 04:51:51 +0000 2020",1256083894022987776,0,"Gurgaon, India"
"46","Fri May 01 04:52:04 +0000 2020",1256083947903016960,-0.133333333333333,"Greater Faridabad, India"
"47","Fri May 01 04:52:17 +0000 2020",1256084000780804096,0,"Tamil Nadu, India"
"48","Fri May 01 04:52:35 +0000 2020",1256084077272166400,-0.133333333333333,"Greater Faridabad, India"
"49","Fri May 01 04:52:35 +0000 2020",1256084078819860480,0,"New Delhi, India"
"50","Fri May 01 04:52:38 +0000 2020",1256084089607725056,0.583333333333333,"Gurgaon, India"
"51","Fri May 01 04:52:49 +0000 2020",1256084135380058112,-0.133333333333333,"Greater Faridabad, India"
"52","Fri May 01 04:52:54 +0000 2020",1256084157387534336,0.2,"Bengaluru, India"
"53","Fri May 01 04:53:16 +0000 2020",1256084247925972992,0.316666666666667,"Daskroi, India"
"54","Fri May 01 04:53:25 +0000 2020",1256084287495057408,0,"Surat, India"
"55","Fri May 01 04:53:43 +0000 2020",1256084363504242688,0.5,"Gujarat, India"
"56","Fri May 01 04:54:13 +0000 2020",1256084487235964928,0.5,"Jalandhar, India"
"57","Fri May 01 04:54:49 +0000 2020",1256084637840846848,0.125,"Mumbai, India"
"58","Fri May 01 04:54:56 +0000 2020",1256084666496540672,-0.05,"New Delhi, India"
"59","Fri May 01 04:55:03 +0000 2020",1256084697853067264,0.136363636363636,"Jalpaiguri, India"
"60","Fri May 01 04:55:08 +0000 2020",1256084719948742656,0.5,"Kanpur, India"
"61","Fri May 01 04:55:16 +0000 2020",1256084752043474944,0.2,"Uttar Pradesh, India"
"62","Fri May 01 04:55:28 +0000 2020",1256084803184623616,0.7,"Jharkhand, India"
