"","query","lat","lon","lat_min","lat_max","lon_min","lon_max","place_id","osm_type","osm_id","place_rank","display_name","class","type","importance","icon"
"1","Mumbai, India",19.0759899,72.8773928,18.8939566,19.2701767,72.776333,72.9797315,"302040990","relation","7888990","16","Mumbai, Mumbai Suburban, Maharashtra, India","boundary","administrative","0.87994991019715","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"2","Mumbai, India",19.0759899,72.8773928,18.8939566,19.2701767,72.776333,72.9797315,"302040990","relation","7888990","16","Mumbai, Mumbai Suburban, Maharashtra, India","boundary","administrative","0.87994991019715","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"3","Gujarat, India",22.3850008,71.7452633,20.1195321,24.7112627,68.1856152,74.4757604,"258337624","relation","1949080","8","Gujarat, India","boundary","administrative","0.86148013953244","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"4","Kalyan Dombivali, India",19.2334875,73.1182464,19.0734875,19.3934875,72.9582464,73.2782464,"16161912","node","1600720972","16","Kalyan-Dombivli, Kalyan, Thane, Maharashtra, 421301, India","place","city","0.56504417803267","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"5","Madhya Pradesh, India",23.8143419,77.5340719,21.070805,26.8691393,74.0302991,82.8096437,"258891379","relation","1950071","8","Madhya Pradesh, India","boundary","administrative","0.94943553073439","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"6","New Delhi, India",28.6138954,77.2090057,28.4812633,28.6456842,77.0503708,77.2551392,"258989240","relation","2763541","10","New Delhi, Delhi, India","boundary","administrative","0.99480434454149","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"7","Haveli, India",18.51051985,74.0609353177903,18.2815183,18.7394592,73.6346625,74.1960811,"259780549","relation","10351627","12","Haveli, Pune District, Maharashtra, India","boundary","administrative","0.67","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"8","Madhya Pradesh, India",23.8143419,77.5340719,21.070805,26.8691393,74.0302991,82.8096437,"258891379","relation","1950071","8","Madhya Pradesh, India","boundary","administrative","0.94943553073439","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"9","Ujjain, India",23.174597,75.7851423,23.014597,23.334597,75.6251423,75.9451423,"625958","node","245712057","16","Ujjain, Ujjain Tahsil, Ujjain, Madhya Pradesh, 456001, India","place","city","0.71199651078412","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"10","New Delhi, India",28.6138954,77.2090057,28.4812633,28.6456842,77.0503708,77.2551392,"258989240","relation","2763541","10","New Delhi, Delhi, India","boundary","administrative","0.99480434454149","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"11","Noida, India",28.5707841,77.3271074,28.4107841,28.7307841,77.1671074,77.4871074,"304032052","node","313255437","16","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","place","city","0.67833656527123","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"12","Noida, India",28.5707841,77.3271074,28.4107841,28.7307841,77.1671074,77.4871074,"304032052","node","313255437","16","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","place","city","0.67833656527123","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"13","New Delhi, India",28.6138954,77.2090057,28.4812633,28.6456842,77.0503708,77.2551392,"258989240","relation","2763541","10","New Delhi, Delhi, India","boundary","administrative","0.99480434454149","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"14","Greater Noida, India",28.4670734,77.5137649,28.3070734,28.6270734,77.3537649,77.6737649,"6447921","node","712869911","16","Greater Noida, Gautam Buddha Nagar, Uttar Pradesh, 201310, India","place","city","0.72586994762194","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"15","Bhubaneshwar, India",20.2602964,85.8394521,20.1002964,20.4202964,85.6794521,85.9994521,"10662000","node","1051669585","16","Bhubaneshwar, Bhubaneswar Municipal Corporation, Bhubaneswar (M.Corp.), Khordha, Odisha, 751001, India","place","city","0.73612488513846","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"16","Noida, India",28.5707841,77.3271074,28.4107841,28.7307841,77.1671074,77.4871074,"304032052","node","313255437","16","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","place","city","0.67833656527123","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
"17","Ghaziabad, India",28.711241,77.4445372,28.6079024,28.9281295,77.1992428,77.7079081,"258342137","relation","1958054","10","Ghaziabad, Uttar Pradesh, India","boundary","administrative","0.71804257012702","https://nominatim.openstreetmap.org/ui/mapicons//poi_boundary_administrative.p.20.png"
"18","Noida, India",28.5707841,77.3271074,28.4107841,28.7307841,77.1671074,77.4871074,"304032052","node","313255437","16","Noida, Dadri, Gautam Buddha Nagar, Uttar Pradesh, 201301, India","place","city","0.67833656527123","https://nominatim.openstreetmap.org/ui/mapicons//poi_place_city.p.20.png"
