"","time","tweet_id","sentiment_score","location","latitude","longitude","place_rank"
"1","Wed Mar 25 06:02:40 +0000 2020",1242693364098580480,-0.144444444444444,"New Delhi, India",28.6138954,77.2090057,"10"
"2","Wed Mar 25 06:02:50 +0000 2020",1242693402971406336,-0.25,"Bihar, India",25.6440845,85.906508,"8"
"3","Wed Mar 25 06:03:31 +0000 2020",1242693578817597440,0,"Mumbai, India",19.0759899,72.8773928,"16"
"4","Wed Mar 25 06:03:39 +0000 2020",1242693609725575168,0.00833333333333333,"Ghaziabad, India",28.711241,77.4445372,"10"
"5","Wed Mar 25 06:03:56 +0000 2020",1242693680143544320,-0.1,"Narayanpet, India",16.70055175,77.6164844701745,"10"
"6","Wed Mar 25 06:04:11 +0000 2020",1242693745755262976,0,"Bhopal, India",23.2584857,77.401989,"16"
"7","Wed Mar 25 06:04:57 +0000 2020",1242693938533691392,0.416666666666667,"Mumbai, India",19.0759899,72.8773928,"16"
"8","Wed Mar 25 06:04:57 +0000 2020",1242693939578023936,0.25,"New Delhi, India",28.6138954,77.2090057,"10"
"9","Wed Mar 25 06:05:05 +0000 2020",1242693972775956480,0.5,"Bengaluru, India",12.9791198,77.5912997,"16"
"10","Wed Mar 25 06:05:46 +0000 2020",1242694142242652160,0.0333333333333333,"Maharashtra, India",18.9068356,75.6741579,"8"
"11","Wed Mar 25 06:05:56 +0000 2020",1242694186089893888,0,"Madhya Pradesh, India",23.8143419,77.5340719,"8"
"12","Wed Mar 25 06:09:45 +0000 2020",1242695145750843392,0.8,"Anantapur, India",14.6546235,77.5562598422456,"12"
"13","Wed Mar 25 06:10:35 +0000 2020",1242695356560752640,0.221428571428571,"Taranagar, India",28.6707787,75.0361419,"18"
"14","Wed Mar 25 06:10:42 +0000 2020",1242695384163442688,0.55,"Lucknow, India",26.8381,80.9346001,"16"
"15","Wed Mar 25 06:10:58 +0000 2020",1242695451666599936,-0.025,"Dadra and Nagar Haveli",20.2733604,73.0044988,"10"
"16","Wed Mar 25 06:11:16 +0000 2020",1242695527981957120,-0.05,"Bengaluru, India",12.9791198,77.5912997,"16"
"17","Wed Mar 25 06:11:20 +0000 2020",1242695543765123072,-0.2,"Ghaziabad, India",28.711241,77.4445372,"10"
"18","Wed Mar 25 06:11:33 +0000 2020",1242695600199462912,0.25,"Goa, India",15.3004543,74.0855134,"8"
"19","Wed Mar 25 06:11:36 +0000 2020",1242695611247280128,0,"Rajendra Nagar, India",25.6030053,85.1623397,"30"
"20","Wed Mar 25 06:11:42 +0000 2020",1.242695635373e+18,0.1,"Dibrugarh, India",27.4844597,94.9019447,"16"
"21","Wed Mar 25 06:11:55 +0000 2020",1242695689483759616,0,"Kanpur, India",26.4609135,80.3217588,"16"
"22","Wed Mar 25 06:12:34 +0000 2020",1242695852923076608,0.15,"Mumbai, India",19.0759899,72.8773928,"16"
"23","Wed Mar 25 06:12:34 +0000 2020",1242695854307172352,0.468181818181818,"India",22.3511148,78.6677428,"4"
"24","Wed Mar 25 06:12:34 +0000 2020",1242695855326392320,0.333333333333333,"New Delhi, India",28.6138954,77.2090057,"10"
"25","Wed Mar 25 06:12:35 +0000 2020",1242695857171910656,0.625,"Uttar Pradesh, India",27.1303344,80.859666,"8"
"26","Wed Mar 25 06:12:38 +0000 2020",1242695871260758016,0.333333333333333,"Mumbai, India",19.0759899,72.8773928,"16"
"27","Wed Mar 25 06:12:43 +0000 2020",1242695890621444096,-0.1,"Dhanbad, India",23.7952809,86.4309638,"16"
"28","Wed Mar 25 06:12:47 +0000 2020",1242695910724780032,0.25,"Punjab, India",30.9293211,75.5004841,"8"
"29","Wed Mar 25 06:13:29 +0000 2020",1242696085396541440,0,"Greater Noida, India",28.4670734,77.5137649,"16"
"30","Wed Mar 25 06:13:35 +0000 2020",1242696110159822848,0.35,"New Delhi, India",28.6138954,77.2090057,"10"
"31","Wed Mar 25 06:14:10 +0000 2020",1242696256398462976,0.6,"New Delhi, India",28.6138954,77.2090057,"10"
"32","Wed Mar 25 06:14:19 +0000 2020",1242696293484392448,0.381385281385281,"New Delhi, India",28.6138954,77.2090057,"10"
"33","Wed Mar 25 06:14:37 +0000 2020",1242696369107681280,0,"Chandigarh, India",30.7334421,76.7797143,"16"
